b,age,survival
0.00001,0.0,1.0
0.00001,0.3015075376884422,0.9969894608664799
0.00001,0.6030150753768844,0.9939879760427809
0.00001,0.9045226130653266,0.9909955183249287
0.00001,1.2060301507537687,0.9880120605906025
0.00001,1.507537688442211,0.9850375757988904
0.00001,1.809045226130653,0.9820720369900445
0.00001,2.1105527638190953,0.9791154172852383
0.00001,2.4120603015075375,0.9761676898863237
0.00001,2.7135678391959797,0.9732288280755891
0.00001,3.015075376884422,0.9702988052155183
0.00001,3.316582914572864,0.9673775947485499
0.00001,3.618090452261306,0.9644651701968376
0.00001,3.9195979899497484,0.9615615051620117
0.00001,4.221105527638191,0.9586665733249394
0.00001,4.522613065326633,0.9557803484454888
0.00001,4.824120603015075,0.9529028043622908
0.00001,5.125628140703517,0.9500339149925038
0.00001,5.427135678391959,0.9471736543315776
0.00001,5.7286432160804015,0.944321996453019
0.00001,6.030150753768844,0.9414789155081573
0.00001,6.331658291457286,0.9386443857259115
0.00001,6.633165829145728,0.9358183814125574
0.00001,6.93467336683417,0.9330008769514954
0.00001,7.236180904522612,0.9301918468030195
0.00001,7.537688442211055,0.9273912655040868
0.00001,7.839195979899497,0.9245991076680872
0.00001,8.140703517587939,0.9218153479846145
0.00001,8.442211055276381,0.919039961219238
0.00001,8.743718592964823,0.9162729222132745
0.00001,9.045226130653266,0.913514205883561
0.00001,9.346733668341708,0.9107637872222284
0.00001,9.64824120603015,0.9080216412964759
0.00001,9.949748743718592,0.9052877432483455
0.00001,10.251256281407034,0.9025620682944979
0.00001,10.552763819095476,0.8998445917259885
0.00001,10.854271356783919,0.8971352889080444
0.00001,11.15577889447236,0.8944341352798421
0.00001,11.457286432160803,0.8917411063542853
0.00001,11.758793969849245,0.8890561777177844
0.00001,12.060301507537687,0.8863793250300358
0.00001,12.36180904522613,0.883710524023802
0.00001,12.663316582914572,0.8810497505046925
0.00001,12.964824120603014,0.8783969803509456
0.00001,13.266331658291456,0.8757521895132103
0.00001,13.567839195979898,0.8731153540143296
0.00001,13.86934673366834,0.8704864499491232
0.00001,14.170854271356783,0.8678654534841723
0.00001,14.472361809045225,0.8652523408576046
0.00001,14.773869346733667,0.8626470883788788
0.00001,15.07537688442211,0.8600496724285716
0.00001,15.376884422110551,0.8574600694581638
0.00001,15.678391959798994,0.8548782559898283
0.00001,15.979899497487436,0.8523042086162174
0.00001,16.281407035175878,0.8497379040002518
0.00001,16.58291457286432,0.8471793188749103
0.00001,16.884422110552762,0.8446284300430184
0.00001,17.185929648241206,0.8420852143770401
0.00001,17.487437185929647,0.8395496488188688
0.00001,17.788944723618087,0.8370217103796189
0.00001,18.09045226130653,0.8345013761394175
0.00001,18.391959798994975,0.831988623247199
0.00001,18.693467336683415,0.8294834289204974
0.00001,18.994974874371856,0.8269857704452412
0.00001,19.2964824120603,0.8244956251755479
0.00001,19.597989949748744,0.82201297053352
0.00001,19.899497487437184,0.8195377840090406
0.00001,20.201005025125625,0.8170700431595708
0.00001,20.50251256281407,0.8146097256099457
0.00001,20.804020100502512,0.8121568090521741
0.00001,21.105527638190953,0.8097112712452359
0.00001,21.407035175879393,0.8072730900148811
0.00001,21.708542713567837,0.8048422432534302
0.00001,22.01005025125628,0.8024187089195748
0.00001,22.31155778894472,0.8000024650381772
0.00001,22.613065326633162,0.7975934897000732
0.00001,22.914572864321606,0.7951917610618738
0.00001,23.21608040201005,0.792797257345768
0.00001,23.51758793969849,0.790409956839326
0.00001,23.81909547738693,0.788029837895303
0.00001,24.120603015075375,0.7856568789314442
0.00001,24.42211055276382,0.7832910584302893
0.00001,24.72361809045226,0.7809323549389787
0.00001,25.0251256281407,0.7785807470690591
0.00001,25.326633165829143,0.7767435958480027
0.00001,25.628140703517587,0.7748718249582993
0.00001,25.929648241206028,0.7730045589766974
0.00001,26.23115577889447,0.7711393645450083
0.00001,26.532663316582912,0.7692834984490197
0.00001,26.834170854271356,0.7674299836825124
0.00001,27.135678391959797,0.7655803279470101
0.00001,27.437185929648237,0.7637354245945148
0.00001,27.73869346733668,0.7618949615666685
0.00001,28.040201005025125,0.7600589281898269
0.00001,28.341708542713565,0.7582273138159713
0.00001,28.643216080402006,0.7564001078226461
0.00001,28.94472361809045,0.7545772996128985
0.00001,29.246231155778894,0.7527588786152346
0.00001,29.547738693467334,0.7509448342834699
0.00001,29.849246231155774,0.7491351560968453
0.00001,30.15075376884422,0.74732983355979
0.00001,30.452261306532662,0.7455288562019485
0.00001,30.753768844221103,0.7437322135781034
0.00001,31.055276381909543,0.7419398952681147
0.00001,31.356783919597987,0.7401518908768594
0.00001,31.65829145728643,0.738368190034172
0.00001,31.95979899497487,0.7365887823947844
0.00001,32.26130653266331,0.7348136576382664
0.00001,32.562814070351756,0.7330428054689659
0.00001,32.8643216080402,0.7312762156159495
0.00001,33.16582914572864,0.7295138778329433
0.00001,33.46733668341708,0.7277557818982717
0.00001,33.768844221105525,0.7260019176148093
0.00001,34.07035175879397,0.7242522748098997
0.00001,34.37185929648241,0.72250684333532
0.00001,34.67336683417085,0.7207656130672092
0.00001,34.97487437185929,0.719028573906014
0.00001,35.27638190954774,0.7172957157775038
0.00001,35.577889447236174,0.7155670286273408
0.00001,35.87939698492462,0.7138425725107761
0.00001,36.18090452261306,0.7121221271867969
0.00001,36.482412060301506,0.7104058929135433
0.00001,36.78391959798995,0.7086937896570731
0.00001,37.08542713567839,0.7069858074863568
0.00001,37.38693467336683,0.7052819364942086
0.00001,37.688442211055275,0.7035821667972303
0.00001,37.98994974874371,0.7018864885357542
0.00001,38.291457286432156,0.7001948918737856
0.00001,38.5929648241206,0.6985073669989463
0.00001,38.89447236180904,0.6968239041224181
0.00001,39.19597989949749,0.6951444934788864
0.00001,39.497487437185924,0.6934691253264836
0.00001,39.79899497487437,0.6917977899467324
0.00001,40.10050251256281,0.690130477644491
0.00001,40.40201005025125,0.6884671787478961
0.00001,40.70351758793969,0.686807883608307
0.00001,41.00502512562814,0.6851525826002508
0.00001,41.30653266331658,0.6835012661223899
